iter	Passed	Remaining
0	1	766
1	2	693
2	2	650
3	3	660
4	5	671
5	5	658
6	7	671
7	7	662
8	8	651
9	9	641
10	10	648
11	11	649
12	12	641
13	13	634
14	14	627
15	15	627
16	16	622
17	17	622
18	18	644
19	19	645
20	20	643
21	21	640
22	22	638
23	23	638
24	24	649
25	25	644
26	26	639
27	27	635
28	28	632
29	29	634
30	30	642
31	31	638
32	32	635
33	33	632
34	34	630
35	35	628
36	38	655
37	38	653
38	39	649
39	40	646
40	41	643
41	42	642
42	43	642
43	44	639
44	45	637
45	46	635
46	47	634
47	48	633
48	49	634
49	50	632
50	51	629
51	52	626
52	53	624
53	54	622
54	54	619
55	56	622
56	57	620
57	58	619
58	59	617
59	59	614
60	60	611
61	61	609
62	62	610
63	63	609
64	64	607
65	65	605
66	66	603
67	67	601
68	68	600
69	69	604
70	71	604
71	72	603
72	72	601
73	73	599
74	74	598
75	76	599
76	77	598
77	77	596
78	78	594
79	79	592
80	80	591
81	81	589
82	83	598
83	84	596
84	85	594
85	86	592
86	87	590
87	88	589
88	89	591
89	90	590
90	91	589
91	92	588
92	93	586
93	94	584
94	95	585
95	96	583
96	97	581
97	98	579
98	99	577
99	100	576
100	101	575
101	102	575
102	103	574
103	104	572
104	105	572
105	106	570
106	107	568
107	107	566
108	109	566
109	110	565
110	110	563
111	111	562
112	112	561
113	113	559
114	114	557
115	116	560
116	117	558
117	117	556
118	118	554
119	119	552
120	120	551
121	121	551
122	122	551
123	124	551
124	125	551
125	126	550
126	127	549
127	128	549
128	129	548
129	130	547
130	131	545
131	132	545
132	133	544
133	134	544
134	135	543
135	136	542
136	137	540
137	138	539
138	139	538
139	140	536
140	141	536
141	142	535
142	143	533
143	144	532
144	145	530
145	146	529
146	147	528
147	149	531
148	150	530
149	151	529
150	152	527
151	153	526
152	153	525
153	155	524
154	156	523
155	157	522
156	158	521
157	159	520
158	159	518
159	160	518
160	161	516
161	162	515
162	163	514
163	164	512
164	165	511
165	166	510
166	167	509
167	168	507
168	169	506
169	170	505
170	170	503
171	172	503
172	172	501
173	173	500
174	181	517
175	182	516
176	183	515
177	184	514
178	184	512
179	185	511
180	186	509
181	188	509
182	189	508
183	190	507
184	190	505
185	191	504
186	192	502
187	193	501
188	194	500
189	195	498
190	196	497
191	197	496
192	198	494
193	198	493
194	199	491
195	200	491
196	201	489
197	202	488
198	203	486
199	204	485
200	205	484
201	206	482
202	207	481
203	207	480
204	208	478
205	209	477
206	210	476
207	211	474
208	212	473
209	213	471
210	214	472
211	215	470
212	216	469
213	217	467
214	218	466
215	218	465
216	219	463
217	221	463
218	221	462
219	222	461
220	223	459
221	224	458
222	225	457
223	226	456
224	227	455
225	228	454
226	229	453
227	230	451
228	231	450
229	232	449
230	232	447
231	234	446
232	234	445
233	235	444
234	236	443
235	237	441
236	238	440
237	239	439
238	241	440
239	242	439
240	243	437
241	243	436
242	244	435
243	245	433
244	246	433
245	247	432
246	248	430
247	249	429
248	250	428
249	250	426
250	251	425
251	252	424
252	253	423
253	254	421
254	255	420
255	256	419
256	257	418
257	258	417
258	258	415
259	260	415
260	260	413
261	261	412
262	262	411
263	263	409
264	264	408
265	265	407
266	266	407
267	267	406
268	268	405
269	269	404
270	270	403
271	271	401
272	272	400
273	274	402
274	275	400
275	276	399
276	277	398
277	278	397
278	279	396
279	280	395
280	281	394
281	282	393
282	282	391
283	283	390
284	284	389
285	285	388
286	286	387
287	287	386
288	288	384
289	288	383
290	289	382
291	290	381
292	291	380
293	292	379
294	293	377
295	294	376
296	295	375
297	295	374
298	296	373
299	297	371
300	298	370
301	299	369
302	300	368
303	301	367
304	301	366
305	302	365
306	303	363
307	304	362
308	305	361
309	306	360
310	307	359
311	307	358
312	308	357
313	309	355
314	310	354
315	311	353
316	312	352
317	313	351
318	313	350
319	314	349
320	316	348
321	316	347
322	317	346
323	318	345
324	319	343
325	320	342
326	321	341
327	322	340
328	322	339
329	323	338
330	324	337
331	325	336
332	326	335
333	327	334
334	327	332
335	328	331
336	329	330
337	330	329
338	331	328
339	332	327
340	333	326
341	333	324
342	334	323
343	335	322
344	336	321
345	336	320
346	337	319
347	339	318
348	339	317
349	340	316
350	341	315
351	342	314
352	342	312
353	343	311
354	344	310
355	345	309
356	346	308
357	347	307
358	347	306
359	348	305
360	349	303
361	350	302
362	351	301
363	352	300
364	352	299
365	353	298
366	354	297
367	355	296
368	356	295
369	356	294
370	357	293
371	358	292
372	359	291
373	360	290
374	361	289
375	362	287
376	362	286
377	363	285
378	364	284
379	365	283
380	366	282
381	367	281
382	368	280
383	369	279
384	369	278
385	370	277
386	371	276
387	372	275
388	373	274
389	374	273
390	375	272
391	375	271
392	376	270
393	377	269
394	378	268
395	379	267
396	380	266
397	381	265
398	381	264
399	382	263
400	383	261
401	384	261
402	385	260
403	386	259
404	387	258
405	387	257
406	388	255
407	389	254
408	390	253
409	391	252
410	392	251
411	392	250
412	393	249
413	394	248
414	395	247
415	395	246
416	396	245
417	398	244
418	398	243
419	399	242
420	400	241
421	401	240
422	401	239
423	402	238
424	403	237
425	404	236
426	405	235
427	406	234
428	407	233
429	408	232
430	408	231
431	409	230
432	410	229
433	411	228
434	412	227
435	413	226
436	414	225
437	415	224
438	415	223
439	416	222
440	417	221
441	418	220
442	419	219
443	420	218
444	421	217
445	421	216
446	422	215
447	424	214
448	424	213
449	425	212
450	426	211
451	427	210
452	428	209
453	428	208
454	429	207
455	431	207
456	432	206
457	433	205
458	433	204
459	434	203
460	435	202
461	436	201
462	437	200
463	438	199
464	438	198
465	439	197
466	440	196
467	441	195
468	441	194
469	442	193
470	443	192
471	444	191
472	445	190
473	446	189
474	446	188
475	447	187
476	448	186
477	449	185
478	450	184
479	451	183
480	452	182
481	453	181
482	453	180
483	454	179
484	455	178
485	456	177
486	457	176
487	458	175
488	459	174
489	460	173
490	460	172
491	461	171
492	462	170
493	463	169
494	464	169
495	465	167
496	466	167
497	467	166
498	468	165
499	468	164
500	470	163
501	471	162
502	472	161
503	472	160
504	473	159
505	474	158
506	475	157
507	476	156
508	477	155
509	478	154
510	479	153
511	480	152
512	480	151
513	481	150
514	482	150
515	483	149
516	484	148
517	485	147
518	486	146
519	487	145
520	487	144
521	488	143
522	490	142
523	490	141
524	491	140
525	492	139
526	493	138
527	494	137
528	495	136
529	496	135
530	496	134
531	497	133
532	498	132
533	499	131
534	500	130
535	501	130
536	502	129
537	503	128
538	504	127
539	505	126
540	506	125
541	507	124
542	508	123
543	509	122
544	510	121
545	511	120
546	512	119
547	513	118
548	514	118
549	515	117
550	516	116
551	517	115
552	518	114
553	518	113
554	519	112
555	520	111
556	521	110
557	522	109
558	523	108
559	524	107
560	525	106
561	526	105
562	527	104
563	528	104
564	529	103
565	530	102
566	531	101
567	532	100
568	533	99
569	534	98
570	535	97
571	535	96
572	536	95
573	537	94
574	538	93
575	539	92
576	540	91
577	541	90
578	542	89
579	543	88
580	543	88
581	544	87
582	545	86
583	546	85
584	547	84
585	548	83
586	549	82
587	550	81
588	551	80
589	552	79
590	554	78
591	556	77
592	557	77
593	558	76
594	559	75
595	560	74
596	561	73
597	562	72
598	563	71
599	564	70
600	565	69
601	566	68
602	567	67
603	568	66
604	568	65
605	569	64
606	570	63
607	571	62
608	572	62
609	573	61
610	574	60
611	575	59
612	576	58
613	577	57
614	578	56
615	579	55
616	580	54
617	581	53
618	582	52
619	583	51
620	584	50
621	584	49
622	586	48
623	587	48
624	588	47
625	589	46
626	590	45
627	591	44
628	592	43
629	593	42
630	593	41
631	594	40
632	595	39
633	596	38
634	597	37
635	597	36
636	599	35
637	600	34
638	600	33
639	601	32
640	602	31
641	603	31
642	604	30
643	604	29
644	606	28
645	606	27
646	607	26
647	608	25
648	609	24
649	609	23
650	610	22
651	611	21
652	612	20
653	613	19
654	614	18
655	615	17
656	616	16
657	616	15
658	617	14
659	620	14
660	620	13
661	621	12
662	622	11
663	623	10
664	624	9
665	625	8
666	625	7
667	626	6
668	627	5
669	628	4
670	629	3
671	629	2
672	630	1
673	631	0
674	632	0
